age,ageSD,DHprecip,DHprecipSD
122.201,5.26,-74.79883549,0.140446054
122.608,5.32,-71.47200491,4.446073553
123.013,5.32,-70.79653032,3.341665455
123.419,5.36,-75.06218684,1.061945137
123.832,5.4,-72.02999249,0.789114079
124.243,5.42,-70.79382162,2.868456103
124.648,5.42,-57.21455517,4.243706292
125.055,5.43,-55.26058968,3.408643621
125.671,5.48,-49.37029342,4.792426639
126.282,5.51,-53.54640887,2.724144532
126.689,5.58,-64.99033825,2.826265678
127.103,5.6,-58.57844923,0.711331709
127.515,0.63,-48.73088276,1.661149725
127.924,5.64,-42.55993348,3.180348708
128.333,5.72,-45.31061583,2.897736186
128.747,5.73,-50.30973174,3.345630934
129.16,5.78,-61.22508113,2.242294267
129.571,5.82,-81.83602962,3.573419343
129.982,5.84,-59.90602786,3.34187889
130.391,5.86,-59.35714013,1.315839066
130.802,5.89,-65.53293009,3.581652221
131.213,5.92,-67.43940897,4.908703166
131.624,5.96,-63.42190074,4.301553277
132.037,6.04,-71.48017548,3.760052984
132.449,6.07,-64.43635119,3.87624595
132.86,6.09,-44.85015376,12.23319198
133.271,6.16,-54.34044648,11.46266189
133.681,6.22,-48.59350722,17.57570959
134.092,6.25,-37.45114077,10.4846462
134.9143333,6.3,-25.80122605,4.374852294
137.7796364,6.5,-23.44384737,1.067612325
141.518,6.5,-14.43804391,4.075245106
144.35125,7.1,-10.93738017,1.878683336
149.044,7.2,-6.213530986,0.378432166
149.8525,7.2,-0.745870806,1.440904287
152.4968182,7.2,7.90316819,0.983090708
