age,ageSD,toc,tocSD
101.187,4.42,0.557289259,0.011145785
102.009,4.45,0.497126882,0.009942538
103.645,4.56,0.584225474,0.011684509
104.458,4.56,0.668188701,0.013363774
105.271,4.63,0.77559219,0.015511844
106.089,4.61,0.736727561,0.014734551
106.906,4.67,0.540261741,0.010805235
107.717,4.7,0.760305016,0.0152061
108.535,4.69,0.79555679,0.015911136
110.581,4.7,10.01179967,0.200235993
110.992,4.71,4.792879857,0.095857597
111.402,4.72,48.57625183,0.971525037
111.812,4.76,48.35042467,0.967008493
112.219,4.76,38.66472306,0.773294461
113.846,4.87,39.75151189,0.795030238
114.662,4.86,41.18733483,0.823746697
115.482,4.88,44.99877809,0.899975562
116.304,4.95,37.96408095,0.759281619
116.957,4.97,22.94130765,0.458826153
117.939,4.99,17.70266021,0.354053204
118.347,5.03,16.95502919,0.339100584
118.757,5.04,22.38989801,0.44779796
119.166,5.09,21.46743829,0.429348766
119.574,5.09,21.67841793,0.433568359
119.981,5.03,15.27063268,0.305412654
120.391,5.16,10.07108371,0.201421674
120.802,5.24,7.96095284,0.159219057
121.634,5.25,8.091503979,0.16183008
122.046,5.26,8.55100326,0.171020065
122.456,5.31,2.103418336,0.042068367
122.867,5.31,5.460809486,0.10921619
123.279,5.34,4.95528245,0.099105649
123.688,5.36,2.893238505,0.05786477
124.096,5.44,1.900741082,0.038014822
124.5,5.42,2.023020155,0.040460403
125.149,5.41,2.043330761,0.040866615
125.479,5.43,1.989648226,0.039792965
125.891,5.5,8.469309162,0.169386183
126.707,5.57,5.375709329,0.107514187
127.526,5.64,2.069334379,0.041386688
128.347,5.72,2.282146814,0.045642936
129.165,5.78,3.668784222,0.073375684
129.981,5.84,18.23951687,0.364790337
131.29,5.9,5.894059847,0.117881197
131.616,5.96,8.050806239,0.161016125
132.42,6.07,5.148615594,0.102972312
132.99,6.11,6.83557247,0.136711449
134.551,6.27,0.358816284,0.007176326
135.54,6.33,0.365382862,0.007307657
135.954,6.34,0.338216334,0.006764327
136.781,6.4,0.33015417,0.006603083
137.598,6.47,0.271327712,0.005426554
138.165,6.58,0.225189527,0.004503791
138.984,6.66,0.270017872,0.005400357
140.297,6.74,0.279592378,0.005591848
140.873,6.81,0.233210834,0.004664217
141.201,6.81,0.267865714,0.005357314
141.769,6.83,0.416063759,0.008321275
142.172,6.91,0.297078525,0.00594157
142.745,6.96,0.309994658,0.006199893
143.238,7.04,0.233736326,0.004674727
143.816,7.05,0.232234021,0.00464468
144.379,7.09,0.206297891,0.004125958
144.704,7.13,0.186799685,0.003735994
145.767,7.18,0.267768557,0.005355371
146.009,7.23,0.362319233,0.007246385
146.496,7.31,0.378151418,0.007563028
148.041,7.43,0.698715709,0.013974314
148.611,7.5,0.910080973,0.018201619
149.428,7.54,0.734240175,0.014684804
150.243,7.57,0.417601908,0.008352038
151.069,7.61,0.360086022,0.00720172
153.534,7.7,0.613773665,0.012275473
154.026,7.71,0.659217009,0.01318434
