age,ageSD,MaO18,MaO18SD
5.17734,0.0517734,-9.37,0.1
5.19019725,0.051901973,-10.07,0.1
5.2030545,0.052030545,-10.04,0.1
5.21591175,0.052159118,-9.48,0.1
5.228769,0.05228769,-10.09,0.1
5.24162625,0.052416263,-10.25,0.1
5.2544835,0.052544835,-10,0.1
5.26734075,0.052673408,-9.98,0.1
5.280198,0.05280198,-10.17,0.1
5.29305525,0.052930553,-9.75,0.1
5.3059125,0.053059125,-10.09,0.1
5.31876975,0.053187698,-9.95,0.1
5.331627,0.05331627,-10.05,0.1
5.34448425,0.053444843,-10.1,0.1
5.3573415,0.053573415,-10.19,0.1
5.37019875,0.053701988,-10.06,0.1
5.382984,0.05382984,-10.25,0.1
5.3894605,0.053894605,-10.15,0.1
5.395937,0.05395937,-10.26,0.1
5.4050041,0.054050041,-10.3,0.1
5.4140712,0.054140712,-10.16,0.1
5.4205477,0.054205477,-10.12,0.1
5.4270242,0.054270242,-10.33,0.1
5.4335007,0.054335007,-10.26,0.1
5.4399772,0.054399772,-9.72,0.1
5.4529302,0.054529302,-9.91,0.1
5.4594067,0.054594067,-10.29,0.1
5.4658832,0.054658832,-10.51,0.1
5.4723597,0.054723597,-9.65,0.1
5.4788362,0.054788362,-9.88,0.1
5.4853127,0.054853127,-10.41,0.1
5.4917892,0.054917892,-10.33,0.1
5.4982657,0.054982657,-10.53,0.1
5.5047422,0.055047422,-10.09,0.1
5.5112187,0.055112187,-10.19,0.1
5.5176952,0.055176952,-10.06,0.1
5.5241717,0.055241717,-10.36,0.1
5.5306482,0.055306482,-10.45,0.1
5.5371247,0.055371247,-9.98,0.1
5.5436012,0.055436012,-10.51,0.1
5.5500777,0.055500777,-10.27,0.1
5.5565542,0.055565542,-10.16,0.1
5.5630307,0.055630307,-10.11,0.1
5.5695072,0.055695072,-10.24,0.1
5.5759837,0.055759837,-10.57,0.1
5.5954132,0.055954132,-10.02,0.1
5.6213192,0.056213192,-10.42,0.1
5.6472252,0.056472252,-10.77,0.1
5.6731312,0.056731312,-10.77,0.1
5.6990372,0.056990372,-10.64,0.1
5.7249432,0.057249432,-10.17,0.1
5.7508492,0.057508492,-10.88,0.1
5.7821192,0.057821192,-10.39,0.1
5.8258202,0.058258202,-10.55,0.1
5.8695212,0.058695212,-10.38,0.1
5.9132222,0.059132222,-10.66,0.1
5.9569232,0.059569232,-10.31,0.1
6.0006242,0.060006242,-10.41,0.1
6.0443252,0.060443252,-10.56,0.1
6.0880262,0.060880262,-10.49,0.1
6.1317272,0.061317272,-10.66,0.1
6.1754282,0.061754282,-10.42,0.1
6.2191292,0.062191292,-10.36,0.1
6.2628302,0.062628302,-10.63,0.1
6.3065312,0.063065312,-10.47,0.1
6.3435498,0.063435498,-10.42,0.1
6.3761588,0.063761588,-10.15,0.1
6.4087678,0.064087678,-10.5,0.1
6.4413768,0.064413768,-10.55,0.1
6.4739858,0.064739858,-10.56,0.1
6.5065948,0.065065948,-10.5,0.1
6.5392038,0.065392038,-10.1,0.1
6.5784296,0.065784296,-10.4,0.1
6.6203926,0.066203926,-9.78,0.1
6.6623556,0.066623556,-10.17,0.1
6.7043186,0.067043186,-10.03,0.1
6.7462816,0.067462816,-10.38,0.1
6.7882446,0.067882446,-10.54,0.1
6.8302076,0.068302076,-9.91,0.1
6.8721706,0.068721706,-10.15,0.1
6.9141336,0.069141336,-10.54,0.1
6.9560966,0.069560966,-10.07,0.1
6.9980364,0.069980364,-10.32,0.1
7.0314534,0.070314534,-10.43,0.1
7.0648704,0.070648704,-10.17,0.1
7.0949457,0.070949457,-10.56,0.1
7.1283627,0.071283627,-10.91,0.1
7.1617797,0.071617797,-10.38,0.1
7.1951967,0.071951967,-10.68,0.1
7.2286137,0.072286137,-10.52,0.1
7.2620307,0.072620307,-10.61,0.1
7.2954477,0.072954477,-10.83,0.1
7.3288647,0.073288647,-10.79,0.1
7.3622817,0.073622817,-10.59,0.1
7.3956987,0.073956987,-10.92,0.1
7.4553889,0.074553889,-10.77,0.1
7.5179979,0.075179979,-10.8,0.1
7.5806069,0.075806069,-10.52,0.1
7.6432159,0.076432159,-10.73,0.1
7.6941821,0.076941821,-10.75,0.1
7.7181431,0.077181431,-10.8,0.1
7.7421041,0.077421041,-10.28,0.1
7.7660651,0.077660651,-10.66,0.1
7.7900261,0.077900261,-10.77,0.1
7.8139871,0.078139871,-10.88,0.1
7.8379481,0.078379481,-10.8,0.1
7.8619091,0.078619091,-10.6,0.1
7.8858701,0.078858701,-10.55,0.1
7.9745258,0.079745258,-10.67,0.1
7.9865063,0.079865063,-10.4,0.1
7.9984868,0.079984868,-10.68,0.1
8.0104673,0.080104673,-10.16,0.1
8.0224478,0.080224478,-10.44,0.1
8.0344283,0.080344283,-10.35,0.1
8.06102735,0.080610274,-10.3,0.1
8.0680774,0.080680774,-10.34,0.1
8.0781489,0.080781489,-9.86,0.1
8.0882204,0.080882204,-10.04,0.1
8.0982919,0.080982919,-10.11,0.1
8.1909497,0.081909497,-10.44,0.1
8.2845501,0.082845501,-10.844,0.1
8.3053836,0.083053836,-10.54,0.1
8.3262171,0.083262171,-10.67,0.1
8.3470506,0.083470506,-10.56,0.1
8.3678841,0.083678841,-10.67,0.1
8.3887176,0.083887176,-11.01,0.1
8.4095511,0.084095511,-10.8,0.1
8.4303846,0.084303846,-10.45,0.1
8.4512181,0.084512181,-10.39,0.1
8.472042,0.08472042,-10.44,0.1
8.498837,0.08498837,-10.66,0.1
8.525632,0.08525632,-10.37,0.1
8.552427,0.08552427,-10.99,0.1
8.579222,0.08579222,-10.59,0.1
8.606017,0.08606017,-10.56,0.1
8.632812,0.08632812,-10.89,0.1
8.659607,0.08659607,-10.57,0.1
8.686402,0.08686402,-10.89,0.1
8.713197,0.08713197,-10.67,0.1
8.739992,0.08739992,-10.63,0.1
8.766787,0.08766787,-10.94,0.1
8.793582,0.08793582,-11.03,0.1
8.820377,0.08820377,-10.74,0.1
8.847172,0.08847172,-10.76,0.1
8.873967,0.08873967,-10.47,0.1
8.997544,0.08997544,-10.64,0.1
9.015461,0.09015461,-10.91,0.1
9.033378,0.09033378,-10.8,0.1
9.051295,0.09051295,-10.94,0.1
9.069212,0.09069212,-10.09,0.1
9.087129,0.09087129,-9.61,0.1
9.105,0.09105,-9.61,0.1
9.134133333,0.091341333,-9.48,0.1
9.163266667,0.091632667,-9.74,0.1
9.1924,0.091924,-9.75,0.1
9.221533333,0.092215333,-9.93,0.1
9.250666667,0.092506667,-10.12,0.1
9.2798,0.092798,-10.78,0.1
9.308933333,0.093089333,-10.63,0.1
9.338066667,0.093380667,-10.67,0.1
9.3672,0.093672,-10.52,0.1
9.396333333,0.093963333,-10.4,0.1
9.425466667,0.094254667,-10.43,0.1
9.4546,0.094546,-10.39,0.1
9.483733333,0.094837333,-10.54,0.1
9.512866667,0.095128667,-10.68,0.1
9.542,0.09542,-10.82,0.1
9.571,0.09571,-10.25,0.1
9.6,0.096,-9.89,0.1
9.629,0.09629,-9.85,0.1
9.658,0.09658,-10.26,0.1
9.687,0.09687,-10.51,0.1
9.716,0.09716,-10.02,0.1
9.745,0.09745,-9.78,0.1
9.774,0.09774,-10.48,0.1
9.803,0.09803,-10.48,0.1
9.832,0.09832,-10.32,0.1
9.861,0.09861,-10.35,0.1
9.89,0.0989,-10.26,0.1
9.919,0.09919,-10.16,0.1
9.948,0.09948,-9.61,0.1
9.977,0.09977,-9.91,0.1
9.99526087,0.099952609,-10.29,0.1
10.01352174,0.100135217,-10.04,0.1
10.03178261,0.100317826,-10.18,0.1
10.05004348,0.100500435,-10.53,0.1
10.06830435,0.100683044,-10.59,0.1
10.08656522,0.100865652,-10.62,0.1
10.10482609,0.101048261,-10.66,0.1
10.12308696,0.10123087,-10.4,0.1
10.14134783,0.101413478,-9.86,0.1
10.1596087,0.101596087,-10.09,0.1
10.17786957,0.101778696,-10.19,0.1
10.19613043,0.101961304,-10.76,0.1
10.2143913,0.102143913,-10.75,0.1
10.23265217,0.102326522,-10.46,0.1
10.25091304,0.10250913,-10.24,0.1
10.26917391,0.102691739,-10.5,0.1
10.28743478,0.102874348,-10.39,0.1
10.30569565,0.103056957,-10.54,0.1
10.32395652,0.103239565,-10.59,0.1
10.34221739,0.103422174,-10.25,0.1
10.36047826,0.103604783,-10.6,0.1
10.37873913,0.103787391,-10.5,0.1
10.397,0.10397,-10.43,0.1
10.41596154,0.104159615,-9.91,0.1
10.43492308,0.104349231,-9.9,0.1
10.45388462,0.104538846,-10.21,0.1
10.47284615,0.104728462,-9.63,0.1
10.49180769,0.104918077,-10.3,0.1
10.51076923,0.105107692,-10.46,0.1
10.52973077,0.105297308,-10.52,0.1
10.54869231,0.105486923,-10.43,0.1
10.56765385,0.105676539,-10.62,0.1
10.60557692,0.106055769,-10.55,0.1
10.62453846,0.106245385,-10.29,0.1
10.6435,0.106435,-10.37,0.1
10.66246154,0.106624615,-10.65,0.1
10.68142308,0.106814231,-10.47,0.1
10.70038462,0.107003846,-9.8,0.1
10.71934615,0.107193462,-10.03,0.1
10.73830769,0.107383077,-9.92,0.1
10.75726923,0.107572692,-10.23,0.1
10.77623077,0.107762308,-10.56,0.1
10.79519231,0.107951923,-10.5,0.1
10.81415385,0.108141539,-10.42,0.1
10.83311538,0.108331154,-9.56,0.1
10.85207692,0.108520769,-9.35,0.1
10.87103846,0.108710385,-9.3,0.1
10.89,0.1089,-9.44,0.1
10.90912,0.1090912,-9.57,0.1
10.92824,0.1092824,-9.71,0.1
10.94736,0.1094736,-9.83,0.1
10.96648,0.1096648,-9.78,0.1
10.9856,0.109856,-10.31,0.1
11.00472,0.1100472,-10.2,0.1
11.02384,0.1102384,-10.02,0.1
11.04296,0.1104296,-9.92,0.1
11.06208,0.1106208,-10,0.1
11.0812,0.110812,-10.23,0.1
11.10032,0.1110032,-9.98,0.1
11.11944,0.1111944,-9.81,0.1
11.13856,0.1113856,-9.84,0.1
11.15768,0.1115768,-10.01,0.1
11.1768,0.111768,-10.21,0.1
11.19592,0.1119592,-9.12,0.1
11.21504,0.1121504,-8.97,0.1
11.23416,0.1123416,-9.22,0.1
11.25328,0.1125328,-9.55,0.1
11.2724,0.112724,-9.82,0.1
11.29152,0.1129152,-9.6,0.1
11.31064,0.1131064,-9.05,0.1
11.32976,0.1132976,-9.17,0.1
11.34888,0.1134888,-9.05,0.1
11.368,0.11368,-9.36,0.1
11.38490476,0.113849048,-9.33,0.1
11.40180952,0.114018095,-8.97,0.1
11.41871429,0.114187143,-9.04,0.1
11.43561905,0.114356191,-8.96,0.1
11.45252381,0.114525238,-8.96,0.1
11.46942857,0.114694286,-9.14,0.1
11.48633333,0.114863333,-9.02,0.1
11.5032381,0.115032381,-9.02,0.1
11.525,0.11525,-8.606,0.1
11.537,0.11537,-8.672,0.1
11.549,0.11549,-8.167,0.1
11.561,0.11561,-8.786,0.1
11.5845,0.115845,-8.653,0.1
11.596,0.11596,-8.297,0.1
11.608,0.11608,-9.197,0.1
11.62,0.1162,-8.52,0.1
11.631,0.11631,-8.301,0.1
11.643,0.11643,-8.643,0.1
11.6545,0.116545,-9.095,0.1
11.666,0.11666,-8.161,0.1
11.6775,0.116775,-8.569,0.1
11.6895,0.116895,-8.842,0.1
11.7005,0.117005,-8.579,0.1
11.712,0.11712,-7.772,0.1
11.724,0.11724,-8.695,0.1
11.736,0.11736,-9.009,0.1
11.7475,0.117475,-8.587,0.1
11.7595,0.117595,-8.911,0.1
11.7715,0.117715,-8.822,0.1
11.784,0.11784,-8.391,0.1
11.7965,0.117965,-8.679,0.1
11.8395,0.118395,-8.034,0.1
11.877,0.11877,-8.333,0.1
11.9105,0.119105,-8.925,0.1
11.9435,0.119435,-8.634,0.1
11.9765,0.119765,-7.891,0.1
12.009,0.12009,-8.4,0.1
12.042,0.12042,-7.822,0.1
12.074,0.12074,-8.425,0.1
12.107,0.12107,-8.341,0.1
12.1405,0.121405,-8.402,0.1
12.173,0.12173,-8.967,0.1
12.206,0.12206,-8.024,0.1
12.24,0.1224,-8.397,0.1
12.274,0.12274,-8.082,0.1
12.311,0.12311,-7.858,0.1
12.3515,0.123515,-7.943,0.1
12.3765,0.123765,-7.542,0.1
12.401,0.12401,-8.324,0.1
12.4235,0.124235,-8.328,0.1
12.446,0.12446,-8.152,0.1
12.4685,0.124685,-8.617,0.1
12.4925,0.124925,-8.617,0.1
12.5185,0.125185,-8.614,0.1
12.542,0.12542,-8.408,0.1
12.5635,0.125635,-8.533,0.1
12.5845,0.125845,-8.613,0.1
12.605,0.12605,-8.706,0.1
12.626,0.12626,-9.539,0.1
12.6475,0.126475,-8.469,0.1
12.671,0.12671,-8.394,0.1
12.6885,0.126885,-8.355,0.1
12.7055,0.127055,-8.932,0.1
12.722,0.12722,-8.919,0.1
12.7385,0.127385,-8.924,0.1
12.754,0.12754,-8.872,0.1
12.7705,0.127705,-8.764,0.1
12.787,0.12787,-9.133,0.1
12.804,0.12804,-9.689,0.1
12.822,0.12822,-9.348,0.1
12.8335,0.128335,-9.12,0.1
12.845,0.12845,-9.53,0.1
12.8565,0.128565,-9.283,0.1
12.868,0.12868,-10.169,0.1
12.879,0.12879,-10.121,0.1
12.8905,0.128905,-9.554,0.1
12.902,0.12902,-9.444,0.1
12.9135,0.129135,-9.776,0.1
12.926,0.12926,-9.626,0.1
12.939,0.12939,-10.053,0.1
12.951,0.12951,-10.234,0.1
12.9635,0.129635,-9.993,0.1
12.9755,0.129755,-9.563,0.1
12.988,0.12988,-8.973,0.1
13,0.13,-9.106,0.1
13.012,0.13012,-8.83,0.1
13.024,0.13024,-9.967,0.1
13.0365,0.130365,-9.844,0.1
13.0485,0.130485,-9.588,0.1
13.0605,0.130605,-9.488,0.1
13.072,0.13072,-9.162,0.1
13.084,0.13084,-9.32,0.1
13.096,0.13096,-9.573,0.1
13.12,0.1312,-10.675,0.1
13.1315,0.131315,-9.849,0.1
13.144,0.13144,-9.672,0.1
13.156,0.13156,-9.415,0.1
13.168,0.13168,-9.224,0.1
13.181,0.13181,-9.946,0.1
13.193,0.13193,-9.298,0.1
13.2055,0.132055,-8.893,0.1
13.2175,0.132175,-8.969,0.1
13.23,0.1323,-9.592,0.1
13.243,0.13243,-9.236,0.1
13.2565,0.132565,-9.623,0.1
13.2695,0.132695,-10.313,0.1
13.2825,0.132825,-9.651,0.1
13.295,0.13295,-9.768,0.1
13.3085,0.133085,-9.969,0.1
13.321,0.13321,-9.782,0.1
13.3335,0.133335,-9.321,0.1
13.3455,0.133455,-9.313,0.1
13.358,0.13358,-9.176,0.1
13.3705,0.133705,-9.336,0.1
